asset,year,region,technology,installed,capacity
0,2030,R1,electric_stove,2020,14.00000000000
0,2034,R1,electric_stove,2020,14.00000000000
0,2035,R1,electric_stove,2020,0.01000000000
0,2039,R1,electric_stove,2020,0.01000000000
0,2040,R1,electric_stove,2020,0.01000000000
0,2044,R1,electric_stove,2020,0.01000000000
0,2045,R1,electric_stove,2020,0.01000000000
0,2050,R1,electric_stove,2020,0.01000000000
1,2030,R1,electric_stove,2025,5.99000000000
1,2034,R1,electric_stove,2025,5.99000000000
1,2035,R1,electric_stove,2025,5.99000000000
1,2039,R1,electric_stove,2025,5.99000000000
2,2035,R1,electric_stove,2030,14.99000000000
2,2039,R1,electric_stove,2030,14.99000000000
2,2040,R1,electric_stove,2030,14.99000000000
2,2044,R1,electric_stove,2030,14.99000000000
3,2030,R1,gas_stove,2020,0.01000000000
3,2034,R1,gas_stove,2020,0.01000000000
3,2035,R1,gas_stove,2020,0.01000000000
3,2039,R1,gas_stove,2020,0.01000000000
3,2040,R1,gas_stove,2020,0.01000000000
3,2044,R1,gas_stove,2020,0.01000000000
3,2045,R1,gas_stove,2020,0.01000000000
3,2050,R1,gas_stove,2020,0.01000000000
4,2030,R1,gasboiler,2020,3.01000000000
4,2034,R1,gasboiler,2020,3.01000000000
4,2035,R1,gasboiler,2020,0.01000000000
4,2039,R1,gasboiler,2020,0.01000000000
4,2040,R1,gasboiler,2020,0.01000000000
4,2044,R1,gasboiler,2020,0.01000000000
4,2045,R1,gasboiler,2020,0.01000000000
4,2050,R1,gasboiler,2020,0.01000000000
5,2030,R1,gasboiler,2025,2.89500000000
5,2034,R1,gasboiler,2025,2.89500000000
5,2035,R1,gasboiler,2025,2.89500000000
5,2039,R1,gasboiler,2025,2.89500000000
6,2035,R1,gasboiler,2030,1.19680000000
6,2039,R1,gasboiler,2030,1.19680000000
6,2040,R1,gasboiler,2030,1.19680000000
6,2044,R1,gasboiler,2030,1.19680000000
7,2030,R1,heatpump,2020,6.01050000000
7,2034,R1,heatpump,2020,6.01050000000
7,2035,R1,heatpump,2020,0.01000000000
7,2039,R1,heatpump,2020,0.01000000000
7,2040,R1,heatpump,2020,0.01000000000
7,2044,R1,heatpump,2020,0.01000000000
7,2045,R1,heatpump,2020,0.01000000000
7,2050,R1,heatpump,2020,0.01000000000
8,2030,R1,heatpump,2025,6.30050000000
8,2034,R1,heatpump,2025,6.30050000000
8,2035,R1,heatpump,2025,6.30050000000
8,2039,R1,heatpump,2025,6.30050000000
9,2035,R1,heatpump,2030,9.07720000000
9,2039,R1,heatpump,2030,9.07720000000
9,2040,R1,heatpump,2030,9.07720000000
9,2044,R1,heatpump,2030,9.07720000000
