commodity,year,asset,region,technology,installed,supply
heat,2040,5,R1,gasboiler,2020,0.01000000000
heat,2040,6,R1,gasboiler,2030,1.19680000000
heat,2040,7,R1,gasboiler,2035,1.24040000000
heat,2040,9,R1,heatpump,2020,0.01000000000
heat,2040,10,R1,heatpump,2030,9.07720000000
heat,2040,11,R1,heatpump,2035,9.24280000000
heat,2045,5,R1,gasboiler,2020,0.01000000000
heat,2045,7,R1,gasboiler,2035,1.24040000000
heat,2045,8,R1,gasboiler,2040,0.51290000000
heat,2045,9,R1,heatpump,2020,0.01000000000
heat,2045,11,R1,heatpump,2035,9.24280000000
heat,2045,12,R1,heatpump,2040,12.72620000000
cook,2040,0,R1,electric_stove,2020,0.00660000000
cook,2040,1,R1,electric_stove,2030,9.87980000000
cook,2040,2,R1,electric_stove,2035,4.60700000000
cook,2040,4,R1,gas_stove,2020,0.00660000000
cook,2045,0,R1,electric_stove,2020,0.00670000000
cook,2045,2,R1,electric_stove,2035,4.71070000000
cook,2045,3,R1,electric_stove,2040,10.77590000000
cook,2045,4,R1,gas_stove,2020,0.00670000000
