commodity,year,asset,region,installed,technology,supply
heat,2050,2,R1,2020,gasboiler,0.01000000000
heat,2050,3,R1,2020,heatpump,0.01000000000
heat,2050,8,R1,2040,gasboiler,0.51290000000
heat,2050,9,R1,2040,heatpump,12.72620000000
heat,2050,11,R1,2045,gasboiler,0.47230000000
heat,2050,12,R1,2045,heatpump,10.13790000000
heat,2055,11,R1,2045,gasboiler,0.47230000000
heat,2055,12,R1,2045,heatpump,10.13790000000
heat,2055,14,R1,2050,gasboiler,0.16790000000
heat,2055,15,R1,2050,heatpump,3.75590000000
cook,2050,0,R1,2020,electric_stove,0.00690000000
cook,2050,1,R1,2020,gas_stove,0.00690000000
cook,2050,7,R1,2040,electric_stove,10.99310000000
cook,2050,10,R1,2045,electric_stove,5.49310000000
cook,2055,10,R1,2045,electric_stove,5.49310000000
cook,2055,13,R1,2050,electric_stove,11.00690000000
