asset,year,region,installed,technology,capacity
2,2050,R1,2040,gasboiler,14.20320000000
2,2054,R1,2040,gasboiler,14.20320000000
3,2050,R1,2040,heatpump,2.78520000000
3,2054,R1,2040,heatpump,2.78520000000
4,2050,R1,2045,gasboiler,17.79160000000
4,2054,R1,2045,gasboiler,17.79160000000
4,2055,R1,2045,gasboiler,17.79160000000
4,2059,R1,2045,gasboiler,17.79160000000
5,2050,R1,2045,heatpump,0.41530000000
5,2054,R1,2045,heatpump,0.41530000000
5,2055,R1,2045,heatpump,0.41530000000
5,2059,R1,2045,heatpump,0.41530000000
6,2055,R1,2050,gasboiler,10.05120000000
6,2059,R1,2050,gasboiler,10.05120000000
6,2060,R1,2050,gasboiler,10.05120000000
6,2064,R1,2050,gasboiler,10.05120000000
7,2055,R1,2050,heatpump,1.64440000000
7,2059,R1,2050,heatpump,1.64440000000
7,2060,R1,2050,heatpump,1.64440000000
7,2064,R1,2050,heatpump,1.64440000000
