asset,year,region,installed,technology,capacity
0,2050,R1,2020,gassupply1,36.01130000000
0,2055,R1,2020,gassupply1,36.01130000000
0,2059,R1,2020,gassupply1,36.01130000000
1,2050,R1,2025,gassupply1,41.48870000000
1,2055,R1,2025,gassupply1,41.48870000000
1,2059,R1,2025,gassupply1,41.48870000000
1,2060,R1,2025,gassupply1,41.48870000000
1,2064,R1,2025,gassupply1,41.48870000000
2,2050,R1,2035,gassupply1,25.00000000000
2,2055,R1,2035,gassupply1,25.00000000000
2,2059,R1,2035,gassupply1,25.00000000000
2,2060,R1,2035,gassupply1,25.00000000000
2,2064,R1,2035,gassupply1,25.00000000000
2,2065,R1,2035,gassupply1,25.00000000000
2,2074,R1,2035,gassupply1,25.00000000000
3,2050,R1,2045,gassupply1,25.00000000000
3,2055,R1,2045,gassupply1,25.00000000000
3,2059,R1,2045,gassupply1,25.00000000000
3,2060,R1,2045,gassupply1,25.00000000000
3,2064,R1,2045,gassupply1,25.00000000000
3,2065,R1,2045,gassupply1,25.00000000000
3,2074,R1,2045,gassupply1,25.00000000000
3,2075,R1,2045,gassupply1,25.00000000000
3,2084,R1,2045,gassupply1,25.00000000000
