asset,year,region,installed,technology,capacity
0,2040,R1,2020,gasCCGT,5.00000000000
0,2045,R1,2020,gasCCGT,5.00000000000
0,2049,R1,2020,gasCCGT,5.00000000000
0,2050,R1,2020,gasCCGT,5.00000000000
0,2059,R1,2020,gasCCGT,5.00000000000
1,2040,R1,2020,windturbine,10.00000000000
1,2045,R1,2020,windturbine,10.00000000000
1,2049,R1,2020,windturbine,10.00000000000
2,2040,R1,2025,gasCCGT,1.75560000000
2,2045,R1,2025,gasCCGT,1.75560000000
2,2049,R1,2025,gasCCGT,1.75560000000
2,2050,R1,2025,gasCCGT,1.75560000000
2,2059,R1,2025,gasCCGT,1.75560000000
2,2060,R1,2025,gasCCGT,1.75560000000
2,2064,R1,2025,gasCCGT,1.75560000000
3,2040,R2,2020,gasCCGT,5.00000000000
3,2045,R2,2020,gasCCGT,5.00000000000
3,2049,R2,2020,gasCCGT,5.00000000000
3,2050,R2,2020,gasCCGT,5.00000000000
3,2059,R2,2020,gasCCGT,5.00000000000
4,2040,R2,2020,windturbine,10.00000000000
4,2045,R2,2020,windturbine,10.00000000000
4,2049,R2,2020,windturbine,10.00000000000
5,2040,R2,2025,gasCCGT,1.75560000000
5,2045,R2,2025,gasCCGT,1.75560000000
5,2049,R2,2025,gasCCGT,1.75560000000
5,2050,R2,2025,gasCCGT,1.75560000000
5,2059,R2,2025,gasCCGT,1.75560000000
5,2060,R2,2025,gasCCGT,1.75560000000
5,2064,R2,2025,gasCCGT,1.75560000000
