asset,year,technology,region,installed,capacity
0,2030,gasboiler,R1,2020,12.00000000000
0,2034,gasboiler,R1,2020,12.00000000000
1,2030,gasboiler,R1,2025,11.00000000000
1,2034,gasboiler,R1,2025,11.00000000000
1,2035,gasboiler,R1,2025,11.00000000000
1,2039,gasboiler,R1,2025,11.00000000000
2,2035,gasboiler,R1,2030,13.15000000000
2,2039,gasboiler,R1,2030,13.15000000000
2,2040,gasboiler,R1,2030,13.15000000000
2,2044,gasboiler,R1,2030,13.15000000000
3,2030,gasboiler,R2,2020,12.00000000000
3,2034,gasboiler,R2,2020,12.00000000000
4,2030,gasboiler,R2,2025,11.00000000000
4,2034,gasboiler,R2,2025,11.00000000000
4,2035,gasboiler,R2,2025,11.00000000000
4,2039,gasboiler,R2,2025,11.00000000000
5,2035,gasboiler,R2,2030,13.15000000000
5,2039,gasboiler,R2,2030,13.15000000000
5,2040,gasboiler,R2,2030,13.15000000000
5,2044,gasboiler,R2,2030,13.15000000000
6,2030,heatpump,R1,2020,7.00000000000
6,2034,heatpump,R1,2020,7.00000000000
7,2035,heatpump,R1,2030,3.85000000000
7,2039,heatpump,R1,2030,3.85000000000
7,2040,heatpump,R1,2030,3.85000000000
7,2044,heatpump,R1,2030,3.85000000000
8,2030,heatpump,R2,2020,7.00000000000
8,2034,heatpump,R2,2020,7.00000000000
9,2035,heatpump,R2,2030,3.85000000000
9,2039,heatpump,R2,2030,3.85000000000
9,2040,heatpump,R2,2030,3.85000000000
9,2044,heatpump,R2,2030,3.85000000000
