commodity,asset,year,installed,technology,supply
heat,2,2050,2040,gasboiler,16.06030000000
heat,3,2050,2040,heatpump,2.13680000000
heat,4,2050,2045,gasboiler,17.79240000000
heat,4,2055,2045,gasboiler,17.79240000000
heat,5,2050,2045,heatpump,0.31860000000
heat,5,2055,2045,heatpump,0.31860000000
heat,6,2055,2050,gasboiler,10.76660000000
heat,7,2055,2050,heatpump,1.30570000000
heat,10,2050,2040,gasboiler,16.06030000000
heat,11,2050,2040,heatpump,2.13680000000
heat,12,2050,2045,gasboiler,17.79240000000
heat,12,2055,2045,gasboiler,17.79240000000
heat,13,2050,2045,heatpump,0.31860000000
heat,13,2055,2045,heatpump,0.31860000000
heat,14,2055,2050,gasboiler,10.76660000000
heat,15,2055,2050,heatpump,1.30570000000
CO2f,2,2050,2040,gasboiler,1039.26260000000
CO2f,4,2050,2045,gasboiler,1151.34470000000
CO2f,4,2055,2045,gasboiler,1151.34470000000
CO2f,6,2055,2050,gasboiler,696.70440000000
CO2f,10,2050,2040,gasboiler,1039.26260000000
CO2f,12,2050,2045,gasboiler,1151.34470000000
CO2f,12,2055,2045,gasboiler,1151.34470000000
CO2f,14,2055,2050,gasboiler,696.70440000000
